Index,Title,Author,Summary,Word Count,Reading Ease,Estimated Reading Time
1,The Warden,Anthony Trollope,The Warden is concerned with the unassuming Rev. Septimus Harding| who has for many years been the Warden of Hiram’s Hospital in the fictional town of Barchester. This “hospital” is what we would today probably call an aged-care or retirement home. It was established under the provisions of a will to look after the needs of old men too feeble to work any longer and unable to support themselves. Mr. Harding benefits financially from his position| though the duties are very slight.A local doctor| though sweet on Mr. Harding’s daughter Eleanor| is nevertheless a keen reformer| zealous to overturn what he sees as corrupt patronage in the Church. He investigates the terms of Hiram’s will and concludes that the money intended for the benefit of the aged wool-carders is unfairly being consumed by the salary of the Warden. He proceeds to pursue this issue through the pages of a crusading journal| The Jupiter.Though strongly defended by the Church authorities| including his son-in-law Archdeacon Grantly| Mr. Harding has long struggles with his conscience because of this imputation.The Warden| published in 1855| was Trollope’s first major writing success| and formed the basis for a series of six novels set in the same fictional county and its cathedral city of Barchester| now known as the “Chronicles of Barsetshire.”,72777,64.14,4h 25m
2,Short Fiction,Vsevolod Garshin,Vsevolod Garshin’s literary career followed a stint as a infantry soldier and later an officer| and he received both public and critical acclaim in the 1880s. Before his sadly early death at the age of thirty-three after a lifelong battle with mental illness he wrote and published nineteen short stories. He drew on his military career and life in St. Petersburg as initial source material| and his varied cast of characters includes soldiers| painters| architects| madmen| bears| frogs and even flowers and trees. All are written with a depth of feeling and sympathy that marks Garshin out from his contemporaries.Collected here are the seventeen translations into English by Rowland Smith of Garshin’s short stories and novellas| in chronological order of the original Russian publication.,114547,74.29,6h 57m
3,Phantastes,George MacDonald,Phantastes was published in 1858. It tells the story of Anodos| who| on coming of age| is examining the effects of his deceased father. To his astonishment| in doing so he sees an apparition of a fairy woman| who tells him that he has some fairy blood and conveys him to Fairy Land.In Fairy Land Anodos undergoes a long series of strange adventures and spiritual experiences. He is frequently under threat| at first from malevolent trees| and later from his own evil Shadow. At one point he discovers Pygmalion’s cave and sees the form of a beautiful woman enclosed in transparent alabaster. He falls instantly in love with this woman and contrives to free her from the stone| but she flees from him. Later| he encounters the Arthurian knight Sir Percivale| who has just come off the worst of an encounter with the evil Maid of the Alder-Tree. Eventually| after many trials and hazards| Anodos encounters Sir Percivale again and becomes his squire. Together they carry out deeds of chivalry before Anodos eventually returns to the mundane world.Phantastes is now regarded as a classic of the fantasy genre and has been an important influence on later generations of fantasy writers| including such names as C. S. Lewis.,69195,74.22,4h 12m
4,A Yankee in Canada,Henry David Thoreau,In the fall of 1850| Henry David Thoreau briefly visited Quebec with Ellery Channing. In this book| Thoreau describes the cities and homes| people and customs| and rivers and plants of that part of Canada.He describes what he sees as anachronistically servile| crown-loving traditions in Canada—and how these have stunted the imaginations and lives of the residents—and he contrasts these with the more independent| revolutionary Yankee heritage of his home country.He also turns his characteristically keen eye on the artifacts and natural phenomena around him| from the stone walls of Quebec’s Old City battlements to the rivers and cascades of the surrounding countryside.Parts of this book were originally published in Putnam’s Magazine as “An Excursion to Canada.”,28337,61.4,1h 44m
5,Flatland,Edwin A. Abbott,Flatland is uniquely both a social critique and a primer on multi-dimensional geometry. Written in two parts in 1884 by Edwin A. Abbott| an English mathematician and theologian| it tells the story of a square living in Flatland: a two-dimensional realm. After a dream of a restrictive one-dimensional existence and the difficulties this poses| he is visited by a sphere from a three-dimensional space who wishes to enlighten him into the ways of “Upward| yet not Northward.”Edwin A. Abbott wrote other theological fiction and non-fiction (including several biographies)| but he is best remembered for Flatland. While it was mostly forgotten after publication| it received a revived interest from the 1960s onwards| and has more recently had several sequels and film adaptations. This edition of is based on the second published edition and includes its preface| which in part attempts to address some of the contemporary accusations of misogyny.,33601,51.62,2h 3m
6,The Thirty-Nine Steps,John Buchan,Published in 1915| The Thirty-Nine Steps is a thriller set in Britain on the eve of the First World War.The novel’s protagonist| Richard Hannay| is an expatriate Scot who has just returned to London after many years in South Africa working in the mining industry. He finds England extremely dull and is just considering returning to South Africa when he is accosted by another inhabitant of the block of flats where he is living.This man| Scudder| tells Hannay he knows of a fantastical plot by England’s enemies to create a diplomatic scandal. Hannay| at first skeptical| eventually accepts that there is something in it and harbours Scudder in his own flat. Returning to his flat some days later| Hannay is horrified to find Scudder stabbed to death. Realising that he will be suspected by the police| and that he may also be in danger from the plotters| Hannay flees London.What follows is an exciting chase across Scotland| with Hannay frequently coming close to capture.The Thirty-Nine Steps was immediately popular| particularly with troops in the trenches of the First World War. It has remained popular and has been used as the basis for several movies including one directed by Alfred Hitchcock in 1935. It could also be seen as the prototype of several similarly-themed movies and television shows such as The Fugitive.John Buchan continued the adventures of Richard Hannay in a series of sequels. He also had a highly distinguished government and diplomatic career| ultimately becoming Governor General of Canada.,41567,80.62,2h 32m
7,In a Glass Darkly,J. Sheridan Le Fanu,In a Glass Darkly is a collection of five short stories| presented as posthumous papers of cases of the “metaphysical” doctor Dr. Martin Hesselius. First appearing in “Green Tea|” originally published in 1869| Dr. Hesselius became one of the first literary occult detectives.J. Sheridan Le Fanu often made revisions to his work and re-released several under new names| including two from In a Glass Darkly: “The Familiar|” a revised version of “The Watcher|” published in 1851| and “Mr. Justice Harbottle|” a revised version of “An Account of Some Strange Disturbances in Aungier Street|” published in 1853.Most notably| this collection includes what is likely Sheridan Le Fanu’s most famous work| “Carmilla.” A young countess turned vampire| Countess Mircalla uses the anagram of her name| Carmilla| to disguise herself in order to prey on unsuspecting young women. “Carmilla” would heavily influence Bram Stoker’s Dracula| which would later become the prototypical vampire archetype.,113525,68.6,6h 53m
8,The Hound of the Baskervilles,Arthur Conan Doyle,It would be hard to nominate a more well-known character in English literature than that of the austere analytical detective Sherlock Holmes| created by Arthur Conan Doyle in the late 1880s. Holmes| alongside his friend and biographer Dr. John Watson| appeared in two initial novels and dozens of short stories serialised in popular magazines| attracting a devoted| almost fanatical following which continues to this day.The Hound of the Baskervilles| serialised in 1901–1902| was the third novel featuring Holmes and Watson. Sherlock Holmes is consulted in his Baker Street apartment by a Dr. Mortimer| a physician now living on the fringes of Dartmoor. He gives Holmes and Watson an account of a centuries-old legend. The story tells of a hell-hound which slaughtered the debauched heir of the Baskerville family who had been in lecherous pursuit of an innocent maiden across the moor. The same hound is reputed to have harrowed several of the subsequent heirs to the estate.This ancient story might be dismissed as mere fancy| but for the fact that the elderly Sir Charles Baskerville recently died in very mysterious circumstances| apparently fleeing in terror from something which came from the moor. Dr. Mortimer is concerned that the new heir| Sir Henry| just returned from Canada| may be at risk from this supernatural beast. Holmes is intrigued| but being too busy to go himself| sends Dr. Watson to accompany Sir Henry to the ancestral home on Dartmoor and to report anything suspicious.The Hound of the Baskervilles is arguably the best and most certainly the most popular of Doyle’s novels featuring his iconic detective. It has been translated into almost every language in the world and been the basis of dozens of movies (starting as early as 1914)| radio plays and comic-book versions.,59643,80.92,3h 37m
9,This Side of Paradise,F. Scott Fitzgerald,This Side of Paradise chronicles the coming of age of Amory Blaine| born to a wealthy midwestern family. It begins with Amory as a spoiled youth| doted on by his eccentric mother Beatrice. It follows him as he attends preparatory school and Princeton| and then briefly attempts but quickly abandons at a career in advertising. His service in World War I is mentioned but mostly glossed over. Covered in much more detail are his various romances: youthful dalliances| a correspondance-based relationship that ends as soon as the couple spends time together in person| a deep love with the debutant sister of one of his close friends| and an intense summer fling.The book shows Amory’s attempts to define himself as a person and find his place in a world rapidly changing through World War| the “Jazz Age|” and Prohibition. It provides the reader with a good picture of what life was like for a privileged young man of the era.F. Scott Fitzgerald’s first novel| This Side of Paradise was published in 1920 when he was 23 years old| and was widely praised by critics. The semi-autobiographical work launched his career as one of America’s most well-known writers. As a direct result of the publishing of the novel| Zelda Sayre (the inspiration for the character of the debutant Rosalind Connage) agreed to marry Fitzgerald. The couple became an icon of the excesses of the Jazz Age.,83573,72.16,5h 4m
10,Nightmare Abbey,Thomas Love Peacock,Published in 1818| Peacock’s novella Nightmare Abbey is a gentle satire of the then-popular gothic movement in literature. He pokes fun at the genre’s obsessions and most of the book’s characters are caricatures of well-known personages of the time.Young Scythrop is the only son of Mr. Glowry| living in the semi-ruined Nightmare Abbey on his estate in Lincolnshire. Mr. Glowry| the survivor of a miserable marriage| is addicted to the depressing and the morbid| surrounding himself with servants whose names| such as Raven| Graves and Skellet| reflect his obsessions. His friends| also| are chosen from those who best reflect his misanthropic views.Scythrop himself imagines himself a philosopher with a unique view of the world| and to this end has written a treatise titled “Philosophical Gas; or| a Project for a General Illumination of the Human Mind.” Only seven copies of this treatise have ever been sold| and Scythrop dreams of being united with one of the buyers. His passions| though| become more earthy when he falls in love both with his cousin Marionetta and then also with a mysterious woman who appears in his apartment and begs him for asylum| thus creating a situation of romantic farce as he tries to decide between the two.These events are interleaved beween entertaining discussions among the varied guests at Nightmare Abbey| richly filled with humor| allusions and quotation.Nightmare Abbey is probably Peacock’s most successful work of fiction| and helped establish his position as an important satirist of his times. His satire| though| is light-hearted rather than savage and is directed more at foolish opinions than attacking particular persons.,26835,61.06,1h 38m
